date,predicted_repos,lower_ci,upper_ci,actual_repos,diff,percent_diff,diff_ma7,cum_actual,cum_predicted,cum_diff,cum_percent
2023-06-09,68144.56634239893,-462965.21161225386,599254.3442970517,154996,86851.43365760107,127.45173726868799,75438.16799721615,27470823,21053615.798767317,6417207.201232683,30.480309237942908
2023-06-10,48982.57131576698,-485262.29654673813,583227.4391782722,128501,79518.42868423302,162.3402499056575,78999.00358526895,27599324,21102598.370083082,6496725.6299169175,30.786377658247304
2023-06-11,53527.41673501505,-483804.8063840996,590859.6398541296,128831,75303.58326498495,140.68226687974087,82077.98203046457,27728155,21156125.7868181,6572029.213181902,31.064426820891676
2023-06-12,82409.18422025212,-457974.7722327354,622793.1406732396,158071,75661.81577974788,91.81235865353213,84547.81761851735,27886226,21238534.97103835,6647691.028961651,31.300139289393965
2023-06-13,81079.37415819903,-462328.1766725795,624486.9249889776,171943,90863.62584180097,112.06749778866234,84047.22463514157,28058169,21319614.34519655,6738554.654803451,31.60730089060777
2023-06-14,80113.6458661017,-466790.2261546337,627017.5178868371,177576,97462.3541338983,121.65512264513896,84652.20308033722,28235745,21399727.991062652,6836017.008937348,31.944410750418562
2023-06-15,78972.51803264466,-471275.3866899762,629220.4227552655,165146,86173.48196735534,109.11831623721817,85966.61009696142,28400891,21478700.509095296,6922190.490904704,32.228162443875306
2023-06-16,65371.71722602946,-488121.5116728636,618864.9461249226,148719,83347.28277397054,127.49746574009781,86364.15997072848,28549610,21544072.226321325,7005537.773678675,32.51724047378428
2023-06-17,46209.72219939751,-510462.24508998473,602881.6894887798,129963,83753.27780060249,181.24601017769044,86772.99555878127,28679573,21590281.948520724,7089291.051479276,32.83556494714978
2023-06-18,50754.56761864558,-509049.0369081147,610558.1721454059,135259,84504.43238135442,166.4962117622498,86955.11686111976,28814832,21641036.51613937,7173795.483860631,33.14903830281227
2023-06-19,79636.33510388265,-483263.73573237757,642536.4059401429,158081,78444.66489611735,98.50360993356762,87474.80959202968,28972913,21720672.851243254,7252240.148756746,33.38865328171286
2023-06-20,78306.52504182956,-487662.21168342093,644275.26176708,172032,93725.47495817044,119.69050460112287,90931.5023229396,29144945,21798979.376285084,7345965.623714916,33.69866770784015
2023-06-21,77340.79674973222,-492162.8172842639,646844.4107837284,176078,98737.20325026778,127.66509707647877,92663.19505384953,29321023,21876320.173034817,7444702.826965183,34.03087341966073
2023-06-22,76199.66891627519,-496688.78467318515,649088.1225057355,166011,89811.33108372481,117.8631513247197,94724.03064190233,29487034,21952519.84195109,7534514.158048909,34.32186469842297
2023-06-23,62598.86810965999,-513577.10615785583,638774.8423771758,170143,107544.13189034001,171.79884419306975,97547.43765852651,29657177,22015118.71006075,7642058.289939251,34.71277348346473
