date,total_events,new_repos,python_repos
2020-08-26,363483,106903,0
2020-08-27,368289,107055,0
2020-08-28,346209,99643,0
2020-08-29,255068,81161,0
2020-08-30,251662,82841,0
2020-08-31,375100,104990,0
2020-09-01,396819,106836,0
2020-09-02,442980,106512,0
2020-09-03,535103,100110,0
2020-09-04,696006,87101,0
2020-09-05,420299,83384,0
2020-09-06,448164,87210,0
2020-09-07,615980,107164,0
2020-09-08,442067,113873,0
2020-09-09,548937,114164,0
2020-09-10,855955,104855,0
2020-09-11,900496,113712,0
2020-09-12,578386,83124,0
2020-09-13,316344,86917,0
2020-09-14,415415,117020,0
2020-09-15,416810,119182,0
2020-09-16,396967,112600,0
2020-09-17,389763,112387,0
2020-09-18,351679,105701,0
2020-09-19,261324,92783,0
2020-09-20,258611,87374,0
2020-09-21,393675,114955,0
2020-09-22,385752,121496,0
2020-09-23,407528,129911,0
2020-09-24,372725,113407,0
2020-09-25,353650,101740,0
2020-09-26,263993,85758,0
2020-09-27,256331,87273,0
2020-09-28,383967,114723,0
2020-09-29,384214,113412,0
2020-09-30,376233,113978,0
2020-10-01,396011,111542,0
2020-10-02,360079,107753,0
2020-10-03,287674,91367,0
2020-10-04,279526,93145,0
2020-10-05,398966,118243,0
2020-10-06,416457,119126,0
2020-10-07,387762,114129,0
2020-10-08,388199,113366,0
2020-10-09,355009,104343,0
2020-10-10,280718,90013,0
2020-10-11,278967,89253,0
2020-10-12,430340,114129,0
2020-10-13,729151,109167,0
2020-10-14,417292,113500,0
2020-10-15,386379,112004,0
2020-10-16,366049,105029,0
2020-10-17,277997,89186,0
2020-10-18,282161,90711,0
2020-10-19,426911,118625,0
2020-10-20,474188,118598,0
2020-10-21,402485,116832,0
2020-10-22,393838,116399,0
2020-10-23,357998,106965,0
2020-10-24,263103,85222,0
2020-10-25,263059,87544,0
2020-10-26,403026,115560,0
2020-10-27,449527,115680,0
2020-10-28,390122,113584,0
2020-10-29,394424,115886,0
2020-10-30,360330,109148,0
2020-10-31,264376,89143,0
2020-11-01,271408,87258,0
2020-11-02,385539,112550,0
2020-11-03,389667,116173,0
2020-11-04,361081,109367,0
2020-11-05,368899,111965,0
2020-11-06,351471,104740,0
2020-11-07,252718,88297,0
2020-11-08,255855,89254,0
2020-11-09,418122,118856,0
2020-11-10,409846,121485,0
2020-11-11,380360,115213,0
2020-11-12,376547,113844,0
2020-11-13,345363,101353,0
2020-11-14,242813,83315,0
2020-11-15,259022,88817,0
2020-11-16,410805,115235,0
2020-11-17,402369,116849,0
2020-11-18,564508,117356,0
2020-11-19,396097,118980,0
2020-11-20,384566,111692,0
2020-11-21,270033,92084,0
2020-11-22,276333,93257,0
2020-11-23,422854,118126,0
2020-11-24,383931,114368,0
2020-11-25,593696,113341,0
2020-11-26,355662,108137,0
2020-11-27,326278,101804,0
2020-11-28,250240,88234,0
2020-11-29,260980,91994,0
2020-11-30,378344,112821,0
2020-12-01,416407,126685,0
2020-12-02,398313,120808,0
2020-12-03,399042,120245,0
2020-12-04,375539,109040,0
2020-12-05,293871,93368,0
2020-12-06,270616,94901,0
2020-12-07,403385,116973,0
2020-12-08,396028,116580,0
2020-12-09,398436,118685,0
2020-12-10,428686,115033,0
2020-12-11,775176,103580,0
2020-12-12,982974,86308,0
2020-12-13,506139,91643,0
2020-12-14,392525,108863,0
2020-12-15,381128,115223,0
2020-12-16,376286,112419,0
2020-12-17,376205,112341,0
2020-12-18,343141,106571,0
2020-12-19,249948,88056,0
2020-12-20,248727,88832,0
2020-12-21,377752,104854,0
2020-12-22,386701,104813,0
2020-12-23,308473,97551,0
2020-12-24,260463,85490,0
2020-12-25,201620,70931,0
2020-12-26,209263,76725,0
2020-12-27,231147,84221,0
2020-12-28,316219,102788,0
2020-12-29,303194,99197,0
2020-12-30,300440,96128,0
