date,total_events,new_repos
2021-09-15,487644,166844
2021-09-16,476894,158100
2021-09-17,437556,143105
2021-09-18,316611,120021
2021-09-19,311612,117799
2021-09-20,489414,144253
2021-09-21,1036330,133357
2021-09-22,632653,147958
2021-09-23,462055,153077
2021-09-24,415831,140440
2021-09-25,308218,115965
2021-09-26,314018,118660
2021-09-27,446240,136474
2021-09-28,376262,122559
2021-09-29,491695,152551
2021-09-30,460755,153173
2021-10-01,444522,137304
2021-10-02,320498,115773
2021-10-03,321083,117277
2021-10-04,475412,145681
2021-10-05,411128,130587
2021-10-06,65801,6784
2021-10-07,144038,47434
2021-10-08,152914,50775
2021-10-09,187496,66881
2021-10-10,188245,69411
2021-10-11,156944,47830
2021-10-12,188347,45969
2021-10-13,144826,45673
2021-10-14,153348,47977
2021-10-15,148804,48122
2021-10-16,187463,69942
2021-10-17,197801,74253
2021-10-18,144746,44612
2021-10-19,146997,48064
2021-10-20,154189,49130
2021-10-21,152167,48244
2021-10-22,36385,11844
2021-10-23,13738,4350
2021-10-24,20676,6976
2021-10-25,8072,2309
2021-10-29,72540,21095
2021-10-30,316659,112370
2021-10-31,317989,111125
2021-11-01,489827,135060
2021-11-02,445052,142714
2021-11-03,487410,138233
2021-11-04,461007,129850
2021-11-05,401835,127656
2021-11-06,307302,106132
2021-11-07,306010,110494
2021-11-08,480503,140429
2021-11-09,460848,145056
2021-11-10,467737,143036
2021-11-11,436875,140483
2021-11-12,414555,134736
2021-11-13,313805,110790
2021-11-14,324902,112438
2021-11-15,478863,145625
2021-11-16,496503,145215
2021-11-17,456150,144334
2021-11-18,464088,144153
2021-11-19,428948,134738
2021-11-20,308896,114166
2021-11-21,311477,116705
2021-11-22,486921,148909
2021-11-23,448560,145848
2021-11-24,447585,144526
2021-11-25,419132,138409
2021-11-26,383586,130693
2021-11-27,280861,107283
2021-11-28,318900,116963
2021-11-29,486750,147462
2021-11-30,482328,150976
2021-12-01,491870,153091
2021-12-02,466962,154040
2021-12-03,429467,142045
2021-12-04,318347,114951
2021-12-05,323028,117010
2021-12-06,484988,145097
2021-12-07,461612,146968
2021-12-08,470658,144820
2021-12-09,513388,136363
2021-12-10,476325,133025
2021-12-11,314079,113762
2021-12-12,311223,114563
2021-12-13,490413,136237
2021-12-14,506300,140948
2021-12-15,457091,141244
2021-12-16,451123,135470
2021-12-17,423513,128585
2021-12-18,309074,103621
2021-12-19,297250,108379
2021-12-20,605662,131938
2021-12-21,423082,133835
2021-12-22,396764,128976
2021-12-23,373314,122382
2021-12-24,299330,101635
2021-12-25,228346,84302
2021-12-26,257414,95869
2021-12-27,368416,117444
2021-12-28,364531,123731
2021-12-29,361251,121698
2021-12-30,338824,117791
2021-12-31,275819,93713
2022-01-01,261401,82907
2022-01-02,287560,105168
2022-01-03,452240,138867
2022-01-04,451280,146646
2022-01-05,471014,159683
2022-01-06,449570,143647
2022-01-07,460177,133713
2022-01-08,321098,114919
2022-01-09,322263,120115
2022-01-10,487933,146733
2022-01-11,463125,149797
2022-01-12,456280,143273
2022-01-13,831813,132777
2022-01-14,971024,129609
2022-01-15,590930,119199
2022-01-16,343835,122407
2022-01-17,507814,148093
2022-01-18,478879,153601
2022-01-19,493134,156768
2022-01-20,488418,154014
2022-01-21,509208,142097
2022-01-22,554748,120858
2022-01-23,352322,126557
2022-01-24,505708,152482
2022-01-25,486126,152358
2022-01-26,478344,151087
2022-01-27,496999,150230
2022-01-28,450684,141398
2022-01-29,337735,120999
2022-01-30,341300,120780
2022-01-31,492325,142347
2022-02-01,497937,143636
2022-02-02,507222,148199
2022-02-03,473243,149924
2022-02-04,442708,140466
2022-02-05,350670,118172
2022-02-06,369374,124313
2022-02-07,540347,149931
2022-02-08,508279,153293
2022-02-09,517284,147648
2022-02-10,889867,125353
2022-02-11,1086895,129599
2022-02-12,1165441,102673
2022-02-13,1367326,104872
2022-02-14,529505,138287
2022-02-15,507673,156302
2022-02-16,503344,158712
2022-02-17,541359,149148
2022-02-18,889396,119158
2022-02-19,676816,120583
2022-02-20,375363,134049
2022-02-21,521942,162349
2022-02-22,522189,167033
2022-02-23,498805,163882
2022-02-24,518148,152530
2022-02-25,464693,147824
2022-02-26,1026637,91463
2022-02-27,785068,117903
2022-02-28,531425,152286
2022-03-01,545326,153180
2022-03-02,795583,135133
2022-03-03,472525,146476
2022-03-04,461455,149273
2022-03-05,345204,125314
2022-03-06,352084,126361
2022-03-07,542288,149392
2022-03-08,499851,146208
2022-03-09,473641,153460
2022-03-10,468937,155090
2022-03-11,436263,144257
2022-03-12,362203,123697
2022-03-13,359939,128965
2022-03-14,501722,148937
2022-03-15,524844,149281
2022-03-16,485205,154240
2022-03-17,450842,144574
2022-03-18,442246,141679
2022-03-19,351235,126208
2022-03-20,355807,127178
2022-03-21,512490,148886
2022-03-22,468985,153963
2022-03-23,479706,156732
2022-03-24,504307,153822
2022-03-25,509292,145715
2022-03-26,806151,125918
2022-03-27,537801,126962
2022-03-28,567348,156973
2022-03-29,562805,153925
2022-03-30,554361,156224
2022-03-31,733659,145227
2022-04-01,542687,144460
2022-04-02,358370,124379
2022-04-03,350939,125754
2022-04-04,513519,149289
2022-04-05,486147,155421
